exercise_id,name,description,category,movement_pattern,primary_body_area,secondary_body_areas,difficulty,intensity,equipment,workout_locations,space_requirement,estimated_duration_minutes,recommended_repetitions,recommended_sets,beginner_friendly,low_impact,involves_jumping,involves_kneeling,involves_overhead_movement,involves_floor_position,involves_deep_squat,involves_single_leg_balance,high_impact,cardio,strength,mobility,flexibility,balance,core,relaxation,supports_general_fitness,supports_weight_management,supports_strength,supports_endurance,supports_mobility,supports_flexibility,supports_stress_reduction,supports_cardio,instructions,safety_notes,tags
EX001,Walking in Place,A low-intensity cardio exercise focused on full body movement.,cardio,march,full_body,upper_body|lower_body,beginner,low,none,home|gym,small,8,30-60 seconds,1-2 rounds,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,Perform walking in place with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",cardio|march|full_body|low
EX002,Brisk Walking in Place,A moderate-intensity cardio exercise focused on full body movement.,cardio,march,full_body,upper_body|lower_body,intermediate,moderate,none,home|gym,small,10,30-60 seconds,2-3 rounds,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,Perform brisk walking in place with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",cardio|march|full_body|moderate
EX003,Seated March,A low-intensity cardio exercise focused on legs movement.,cardio,march,legs,lower_body|hips,beginner,low,chair,home|gym,small,6,30-60 seconds,1-2 rounds,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,Perform seated march with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",cardio|march|legs|low
EX004,Seated Boxing,A moderate-intensity cardio exercise focused on upper body movement.,cardio,punch,upper_body,arms|shoulders,beginner,moderate,chair,home|gym,small,8,30-60 seconds,1-2 rounds,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,Perform seated boxing with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",cardio|punch|upper_body|moderate
EX005,Shadow Boxing,A moderate-intensity cardio exercise focused on upper body movement.,cardio,punch,upper_body,arms|shoulders,intermediate,moderate,none,home|gym|outdoors,small,10,30-60 seconds,2-3 rounds,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,Perform shadow boxing with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",cardio|punch|upper_body|moderate
EX006,Low-Impact Step Jacks,A moderate-intensity cardio exercise focused on full body movement.,cardio,lateral_step,full_body,upper_body|lower_body,beginner,moderate,none,home|gym|outdoors,small,8,30-60 seconds,1-2 rounds,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,Perform low-impact step jacks with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",cardio|lateral_step|full_body|moderate
EX007,Jumping Jacks,A high-intensity cardio exercise focused on full body movement.,cardio,jump,full_body,upper_body|lower_body,intermediate,high,none,home|gym|outdoors,large,8,30-60 seconds,2-3 rounds,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,Perform jumping jacks with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",cardio|jump|full_body|high
EX008,Jump Rope,A high-intensity cardio exercise focused on full body movement.,cardio,jump,full_body,upper_body|lower_body,intermediate,high,jump_rope,home|gym|outdoors,large,10,30-60 seconds,2-3 rounds,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,Perform jump rope with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",cardio|jump|full_body|high
EX009,High Knees,A high-intensity cardio exercise focused on full body movement.,cardio,run,full_body,upper_body|lower_body,advanced,high,none,home|gym|outdoors,large,6,30-60 seconds,2-3 rounds,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,Perform high knees with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",cardio|run|full_body|high
EX010,Outdoor Easy Walk,A low-intensity cardio exercise focused on full body movement.,cardio,walk,full_body,upper_body|lower_body,beginner,low,none,outdoors,large,20,30-60 seconds,1-2 rounds,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,True,Perform outdoor easy walk with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",cardio|walk|full_body|low
EX011,Outdoor Brisk Walk,A moderate-intensity cardio exercise focused on full body movement.,cardio,walk,full_body,upper_body|lower_body,intermediate,moderate,none,outdoors,large,25,30-60 seconds,2-3 rounds,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,Perform outdoor brisk walk with controlled movement and stop if the motion feels unsafe or painful.,"Use a stable surface, keep a comfortable range of motion, and seek professional advice when unsure.",cardio|walk|full_body|moderate
